"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"toolchain-external-arm-aarch64","2021.07","unknown","","gcc-arm-10.3-2021.07-x86_64-aarch64-none-linux-gnu.tar.xz","https://developer.arm.com/-/media/Files/downloads/gnu-a/10.3-2021.07/binrel","skeleton-init-common [unknown] skeleton-init-systemd [unknown]"
"alsa-lib","1.2.8","LGPL-2.1+ (library), GPL-2.0+ (aserver)","COPYING aserver/COPYING","alsa-lib-1.2.8.tar.bz2","https://www.alsa-project.org/files/pub/lib","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"alsa-utils","1.2.8","GPL-2.0","COPYING","alsa-utils-1.2.8.tar.bz2","https://www.alsa-project.org/files/pub/utils","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] brotli [MIT] iptables [GPL-2.0] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libcurl [curl] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] ncurses [MIT with advertising clause] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] toolchain-external-arm-aarch64 [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"ncurses","6.3-20221224","MIT with advertising clause","COPYING","ncurses-6.3-20221224.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_3_20221224","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"systemd","252.4","LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)","LICENSE.GPL2 LICENSE.LGPL2.1 LICENSES/BSD-2-Clause.txt LICENSES/BSD-3-Clause.txt LICENSES/CC0-1.0.txt LICENSES/LGPL-2.0-or-later.txt LICENSES/Linux-syscall-note.txt LICENSES/lookup3-public-domain.txt LICENSES/MIT-0.txt LICENSES/MIT.txt LICENSES/murmurhash2-public-domain.txt LICENSES/OFL-1.1.txt LICENSES/README.md","systemd-252.4.tar.gz","https://github.com/systemd/systemd-stable/archive/v252.4","brotli [MIT] iptables [GPL-2.0] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libcurl [curl] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"iptables","1.8.9","GPL-2.0","COPYING","iptables-1.8.9.tar.xz","https://netfilter.org/projects/iptables/files","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"kmod","30","LGPL-2.1+ (library), GPL-2.0+ (tools)","libkmod/COPYING COPYING","kmod-30.tar.xz","https://cdn.kernel.org/pub/linux/utils/kernel/kmod","libopenssl [OpenSSL or SSLeay] libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"libopenssl","1.1.1t","OpenSSL or SSLeay","LICENSE","openssl-1.1.1t.tar.gz","https://www.openssl.org/source","libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"libzlib","1.2.13","Zlib","LICENSE","zlib-1.2.13.tar.xz","http://www.zlib.net","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"libcap","2.65","GPL-2.0 or BSD-3-Clause","License","libcap-2.65.tar.xz","https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
